127.0.0.1 - - [07/Feb/2020:14:29:08 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/filesave.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/reload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:40 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/jobTest.jsp HTTP/1.1" 200 8729
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_remove.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:37:45 +0800] "POST /06.mybatis+spring+springMVC/customer/listByPage.action HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/index.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/reload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/filesave.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:36 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:38 +0800] "GET /06.mybatis+spring+springMVC/jobTest.jsp HTTP/1.1" 200 8744
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:38 +0800] "POST /06.mybatis+spring+springMVC/customer/listByPage.action HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:38:40 +0800] "GET /06.mybatis+spring+springMVC/customer/findById.action?id=3 HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/index.jsp HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:37 +0800] "GET /06.mybatis+spring+springMVC/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/filesave.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/reload.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/pencil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:38 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/jobTest.jsp HTTP/1.1" 200 8729
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_remove.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/icons/edit_add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/combo_arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/pagination_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:14:39:39 +0800] "GET /06.mybatis+spring+springMVC/easyui/themes/default/images/loading.gif HTTP/1.1" 304 -
